color,size,styleNumber,productImageName,theme,subTheme,productName,shortDesc,longDesc,longDesc2,regularPrice,salePrice,bestSelling,closeOut,season,packageType,weight,gender
Mossy Oak with Brown Boots,7 to 14,WIN92302MOB,WIN92302MOB,HUNTING,WADER,Wolf Creek WIN92302 MOB,Winchester Waders,"• 3.5MM neoprene upper laminated to camouflage nylon on the outside and nylon on the inside • All seams are butt cemented, stitched and sealed • 100% waterproof • 400 grams of Thinsulate™ Ultra Insulation for warmth • Double kneepads • Repair Kit • Removable suspenders so wader can be rolled down Bootfoot • All vulcanized construction-ozone resistant compound • Completely insulated with thick sponge rubber • Molded outsole for better traction",,109.95,,,,All Season,Boxed,12,Men
Brown Mossy Oak,8 to 13; including half sizes to 10.5,WIN8800MOB,WIN8800MOB,HUNTING,BOOTS,Talon WIN8800MOB,Winchester Boots,• 100% waterproof • Protects against snakes – 100% guaranteed! • Leather uppers with camouflage nylon inserts • Snake guard lining for protection • Removable insole for comfort • Rear heel flex for all day walking • Rugged rubber outsole for superior traction • Strong laces and rust proof hooks and D-rings • Non-insulated Hunting Boots (Pro Line),,95.95,89.95,,,All Seasons,Boxed,7,Men
Black with Red Trim,7 to 14,121M,121M,FISHING,BOOTS,121M,Men and Youth Black Knee Rubber Boot,• All vulcanized rubber construction • 100% waterproof • High content rubber compounds provide strength and durability • All have deep cleated rubber outsole • Steel shanks for stability Rubber Boots (Pro Line),,29.95,,Y,Y,All Seasons,Boxed,6,Men
Green with Tan Trim,"8 to 13 men; boy and women 4/6, 5/7, 6/8, 7/9",151Tan,151Tan,RUBBER BOOTS,BOOTS,Camper 151TAN,Rubber slip on moc,• 100% waterproof • Neoprene collar for comfort • Removable insole for all day wear • Calendar outsole for sure traction in all weather • Pull tab for easy on and off • Men's &amp; Boy’s / Women’s Dual Sizing Rubber Boot (Pro Line),,43.95,,,,All Seasons,Boxed,4,
Black,8 to 13,155M,155M,RUBBER BOOTS,BOOTS,Launch 155M,Pull On Neoprene Boot,• 100% waterproof • Pull on 5.0MM neoprene upper and rubber bottom • Pull Tab for easy on and off • Non marking calendar outsole for sure traction Rubber Boots (Pro Line),,54.95,,,,All Seasons,Boxed,5,Men
Dark Green; Chocolate Brown,7 to 13,16002,16002GRN,FISHING,BOOTS,16002,Rubber Knee Boot,"Completely insulated with foam rubber around the entire foot • 100% waterproof • All vulcanized rubber construction • Heavy cotton lining and cushioned insoles with steel shanks for comfort and support • Adjustable, buckle cinch strap • Ozone resistant rubber compound Rubber Boots (Pro Line)",,44.95,,,,All Seasons,Boxed,8,Men
Dark Green; Chocolate Brown,7 to 13,16003,16003,PAC BOOTS,BOOTS,16003,Rubber Pac Boot,"• This all rubber 100% waterproof boot has a removable extra-thick wool felt liner for maximum warmth and comfort. Also a nylon snow collar with draw tight lace • Heavy duty, deep cleated outsole for superior traction • Ozone resistant rubber compound Rubber Pac Boot (Pro Line)",,44.95,,,,All Seasons,Boxed,8,Men
Brown with Black Knee Pads; Trim,7 to 14,2011,2011,FISHING,WADER,STREAM 2011,Men's Rubber Hip Wader,"• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Large inside utility pocket • Draw string for better fit • Reinforced belt loops (wading belt recommended, not included) • Inside knee harness for alternative wear • Adjustable side strap for better fit",,54.95,,Y,,All Seasons,Boxed,10,Men
Brown with Black Knee Pads; Trim,7 to 14,2012,2012,FISHING,WADER,Stream 2012,Men's Rubber Chest Wader,"• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Large inside utility pocket • Draw string for better fit • Reinforced belt loops (wading belt recommended, not included)",,74.95,,,Y,All Seasons,Boxed,12,Men
Tan,"S, M, L, XL",4802,4802,FISHING,WADER,Wallkill 4802,Men's Breathable Chest Wader,Upper Wader • 100% waterproof • Waders feature waterproof/breathable coating that lets the body heat and perspiration escape while keeping the wet and moisture out • Inside pocket with hook and loop closure • Belt loops and wader belt for safety • Elastic suspenders are adjustable for better fit • Self fabric gravel cuffs with lace keeper to keep sand and pebbles out,,99.95,,,,All Seasons,Boxed,5,
Khaki,7 to 14,21103KHK,21103KHK,FISHING,WADER,STREAM - 21103,Men's Rubber Hip Wader,"• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Large inside utility pocket • Draw string for better fit • Reinforced belt loops (wading belt recommended, not included) • Inside knee harness for alternative wear • Adjustable side strap for better fit",,49.95,,Y,,All Seasons,Boxed,10,Men
Khaki,7 to 14,22103KHK,22103KHK,FISHING,WADER,STREAM - 22103KHK,Men's Rubber Chest Wader,"• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Large inside utility pocket • Draw string for better fit • Reinforced belt loops (wading belt recommended, not included)",,69.95,,,Y,,,12,Men
Green,"S, M, L, XL, XL",42002,42002,FISHING,WADER,Summit 42002,Breathable Wader,• 100% waterproof • High grade 5 layer nylon upper is laminated with waterproof/breathable membrane • Deluxe front hand warmer pocket with organizer pockets • Inside utility pocket • Top draw string and side cinch straps for better fit • Elastic adjustable suspenders • Reinforced knee and seat • Self fabric gravel cuffs with lace keeper • Accessory D-rings,,219.95,199.95,,,All Seasons,Boxed,5,Men
Tan,8 to 13,42102,42102,FISHING,WADER,WALLKILL 42102,Men's Breathable Chest Wader,Upper Wader • 100% waterproof • Waders feature waterproof/breathable coating that lets the body heat and perspiration escape while keeping the wet and moisture out • Inside pocket with hook and loop closure • Belt loops and wader belt for safety • Elastic suspenders are adjustable for better fit Rubber Boot Foot • Neoprene Lining for extra comfort and warmth • Special ozone resistant rubber compounding to avoid cracking and deterioration • Deep cleated outsole,,199.95,179.95,,,All Season,Boxed,11,Men
Amber Olive,"S, M, L, XL",43001,43001,FISHING,WADER,Sage Creek 43001,Men's Breathable Waist High Wader- Stocking Foot,Upper Wader • 100% waterproof • Polyester Poplin outer shell is laminated to high tech membrane that lets body heat and perspiration escape while keeping the wet and moisture out • Inside pocket with zipper • Draw string for better fit • Belt loops and wader belt for safety,,129.95,,,,All Seasons,Boxed,5,Men
Yellow with Black Trim,7 to 15,175Y,175Y,RUBBER BOOTS,BOOTS,175Y,Men's Pull on Slush boot,• All vulcanized rubber construction • 100% waterproof • High content rubber compounds provide strength and durability • All have deep cleated rubber outsole Rubber Boots (Pro Line),,29.95,,,,All Seasons,Poly Bag,8,Men
Dark Brown,7 to 14,2031,2031,FISHING,WADER,Creek 2031,Men's Rubber Hip Wader,• Premier Insulated Rubber Waders • Vulcanized construction - factory tested 100% waterproof • Special rubber compound to avoid cracking and deterioration - Ozone Resistant • Poly foam and Sponge Rubber Insulation for maximum protection from the cold • Padded cushion knee pads for ultimate comfort and protection • Self cleaning pro grip outsole and heel for stability and sure traction in all terrain • Removable insole for all day wearing comfort • Large inside utility pocket • Draw string for snug fit • Reinforced belt loops (recommended use of belt- not included) • Inside knee harness for alternative wear • Adjustable side strap for perfect fit,,69.95,,,,All Seasons,Boxed,11,Men
Dark Brown,7 to 14,2032,2032,FISHING,WADER,Tide 2032,Men's Rubber Chest Wader,• Premier Insulated Rubber Waders • Vulcanized construction - factory tested 100% waterproof • Special rubber compound to avoid cracking and deterioration - Ozone Resistant • Poly foam and Sponge Rubber Insulation for maximum protection from the cold • Padded cushion knee pads for ultimate comfort and protection • Self cleaning pro grip outsole and heel for stability and sure traction in all terrain • Removable insole for all day wearing comfort • Large inside utility pocket • Draw string for snug fit • Reinforced belt loops (recommended use of belt- not included,,84.95,,,,All Seasons,Boxed,13,Men
